mpid	log($PF_p$)	$\Delta{\bar N_{\rm{U}}}$	${\bar N_{\rm{U}}}$	${\bar N_{{\rm{pU}}}}$	${L_0}$	${L_2}$	$SG$	$\bar N$	${E_{\rm{g}}}$	${\bar T_{\rm{M}}}$	 $\bar N_{{\rm{pU}}}$	${\chi ^{\max }}$	${\chi _{{\rm{range}}}}$
mp-18130	-2.598600665	2.314049587	3.818181818	2	3	0.686348585	14	18.54545455	4.673	576.8727273	0.516129032	3.44	2.3
mp-568299	-2.464706766	1.088757396	2.615384615	2.307692308	5	0.492548018	14	18.30769231	1.9544	1445.404615	0.3125	3.04	2.22
mp-557012	-2.557521328	1.75	2.833333333	1.833333333	4	0.589255651	14	7.333333333	4.5457	683.3225	0.541666667	3.44	2.46
mp-697652	-2.935544632	0.90625	2.25	1.5	4	0.631219059	14	11.125	5.4201	230.615	0.488372093	3.44	2.14
mp-561108	-2.721247999	1.029585799	2.307692308	1.615384615	3	0.733799386	14	20.76923077	3.5096	265.5961538	0.472222222	3.44	2.22
mp-568644	-3.818176413	0.685121107	1.647058824	1.117647059	3	0.673266067	14	26.94117647	1.8682	406.8541176	0.21641791	2.55	1.73
mp-541067	-2.271646786	0.875	1.75	1.75	3	0.612372436	14	25.75	2.2563	101.7425	0.255813953	3.44	1.44
mp-11893	-2.718968225	1.123966942	2.727272727	2.545454545	4	0.552978412	14	12.36363636	3.8994	1640.482727	0.416666667	3.04	2.22
mp-733489	-3.705549206	0.9375	1.625	1.5625	5	0.707106781	14	16.125	1.9922	657.1525	0.613207547	3.16	1.11
mp-684106	-1.920819007	0.446280992	2.181818182	2.090909091	4	0.674199862	14	12.72727273	3.9954	215.97	0.544117647	3.44	2.46
mp-559476	-2.752028452	0.426035503	1.923076923	1.615384615	3	0.733799386	14	22.84615385	3.5398	256.8269231	0.435897436	3.44	2.22
mp-24591	-2.440094212	0.625	1.5	1.25	4	0.58630197	14	12.25	4.3718	179.2375	0.37037037	3.44	1.79
mp-736217	-2.866463327	0.775510204	1.571428571	0.678571429	4	0.648782219	14	9.285714286	2.5303	129.8967857	0.398305085	3.44	2.08
mp-559719	-2.987165727	1.388888889	2.666666667	1.666666667	4	0.697216689	14	13.16666667	5.3098	239.4008333	0.606060606	3.44	2.46
mp-767076	-2.681938127	0.592592593	2.444444444	2.444444444	3	0.711458249	14	14.22222222	3.7528	163.1644444	0.533333333	3.44	1.48
mp-541860	-3.254930676	0.90625	2.25	1.5	4	0.631219059	14	10.25	2.9418	291.89	0.456521739	3.44	1.9
mp-637209	-2.815310556	0	3	3	2	0.905538514	14	9.6	3.1511	165.745	0.5	3.04	0.86
mp-26675	-2.667562954	0.432098765	2.222222222	2.166666667	4	0.707106781	14	11.66666667	4.2519	182.4594444	0.583333333	3.44	2.46
mp-554532	-3.453465974	0.197530864	1.111111111	0.888888889	4	0.618640485	14	16.88888889	4.4567	203.8688889	0.566666667	3.98	3.16
mp-559637	-2.593461012	0.426035503	1.923076923	1.615384615	3	0.733799386	14	22.84615385	3.4395	256.8269231	0.435897436	3.44	2.22
mp-554825	-3.286515337	0.583333333	2.166666667	2	4	0.634647759	14	14.5	4.1855	183.0283333	0.529411765	3.44	2.62
mp-707744	-3.866483446	0.542211653	1.655172414	1.24137931	5	0.60221549	14	7.793103448	2.8799	83.76275862	0.540983607	3.44	2.62
mp-27342	-2.649753339	1.24567474	1.882352941	1.882352941	2	0.764705882	14	15.76470588	4.3865	394.0588235	0.454545455	3.98	1.97
mp-28837	-3.390413061	0.36	1.2	0.6	3	0.678232998	14	20.4	1.7025	427.619	0.555555556	3.16	2.34
mp-540554	-3.548224306	0.495867769	1.454545455	0.909090909	4	0.596130775	14	5.818181818	3.9656	95.31636364	0.555555556	3.44	2.51
mp-761841	-2.500313879	0.583333333	2.166666667	2	4	0.634647759	14	11.83333333	3.4618	202.555	0.529411765	3.44	2.46
mp-559020	-2.761955654	0.432098765	2.222222222	2.166666667	4	0.707106781	14	14.33333333	4.9105	155.985	0.516393443	3.44	2.62
mp-559204	-2.576755273	0.96	1.8	1.2	3	0.663324958	14	5	3.6318	850.678	0.461538462	2.58	0.38
mp-570167	-2.939304804	0.50617284	2.111111111	1.944444444	4	0.657342198	14	32.22222222	0.7857	434.9088889	0.264423077	2.55	1.73
mp-720741	-2.95467976	0.713305898	1.481481481	0.666666667	4	0.607452573	14	5.111111111	1.5989	103.22	0.5625	3.98	2.44
mp-571526	-2.522879758	1.088757396	2.615384615	2.307692308	5	0.492548018	14	21.07692308	2.0185	1441.701538	0.3125	3.04	2.22
mp-27241	-2.806877351	0.4375	1.25	1	3	0.684653197	14	21.75	3.2523	304.355	0.538461538	3.16	2.34
mp-766343	-2.381952636	0.444444444	0.666666667	0.666666667	3	0.711458249	14	50	3.6188	604.0111111	0.277777778	2.66	1.77
mp-557917	-4.899870797	0.5	1.333333333	1.333333333	4	0.697216689	14	16	2.2627	152.3525	0.56	3.98	1.93
mp-559644	-2.950784691	0.4	2	1.8	4	0.64978629	14	17.06666667	1.929	431.8646667	0.548780488	2.58	1.76
mp-24566	-2.982969584	0.544217687	1.428571429	1.047619048	4	0.619047619	14	9.80952381	4.136	112.227619	0.480769231	3.44	2.13
mp-3180	-2.978813596	1.301775148	2.769230769	1.692307692	3	0.725690856	14	24.76923077	3.2045	655.2707692	0.35483871	3.44	1.94
mp-768295	-3.363519125	1.48	1.6	0.7	3	0.734846923	14	52.2	3.0154	650.695	0.277777778	2.66	1.77
mp-554741	-2.515701158	0.330578512	2.090909091	1.818181818	4	0.674199862	14	20.81818182	2.6388	496.3318182	0.507462687	2.58	1.76
mp-766995	-2.396856385	2.977777778	4.133333333	1.2	4	0.64978629	14	19.33333333	2.6852	560.526	0.5	3.44	2.46
mp-636839	-1.924453294	1.125	2.25	2.25	2	0.790569415	14	25.25	2.304	105.8675	0.219512195	3.04	1.04
mp-30086	-3.739945316	0.96	1.6	1.6	2	0.824621125	14	20	4.2671	379.56	0.523809524	3.16	1.15
mp-559917	-5.327625021	0.864197531	1.777777778	1.777777778	4	0.618640485	14	14.44444444	3.7195	178.9388889	0.678571429	3.44	1.25
mp-28532	-2.427129211	2.16	2.8	1.6	3	0.663324958	14	35.6	0	681.43	0.228571429	2.96	1.3
mp-720515	-2.630785442	1	2	1.5	2	0.707106781	14	4	4.3711	38.53	0.5	3.04	0.84
mp-540847	-2.690371323	0.9609375	3.1875	2.625	5	0.551985054	14	13.4375	1.7163	1659.573125	0.476190476	3.04	2.25
mp-18414	-2.350665823	2.617283951	3.111111111	1.111111111	4	0.618640485	14	23.77777778	3.8698	580	0.5	3.44	2.55
mp-774283	-3.669600433	0.94214876	2.272727273	1.545454545	6	0.549229362	14	15.36363636	2.4954	549.9895455	0.333333333	3.44	1.54
mp-758944	-3.039532552	0.432098765	2.222222222	2.166666667	4	0.707106781	14	13.44444444	4.4256	162.4938889	0.516393443	3.44	2.46
mp-559643	-2.70774548	0.760330579	2.272727273	1.636363636	4	0.609836721	14	20.45454545	0.2352	464.4254545	0.545454545	2.58	1.76
mp-766217	-2.958610079	0.828402367	1.230769231	1.076923077	3	0.638971066	14	20.46153846	0.7851	561.4723077	0.388888889	3.44	2.49
mp-722266	-2.939304804	0.56	1.466666667	0.866666667	5	0.609188896	14	7.866666667	2.1312	136.59	0.359375	3.44	2.51
mp-6358	-2.50307132	1.375	2.75	1.625	4	0.661437828	14	11	3.0717	362.89625	0.575	3.44	2.51
mp-759406	-2.211832124	0.428571429	2	1.785714286	4	0.630840062	14	11	3.2922	238.4178571	0.539473684	3.44	2.46
mp-684508	-2.653648395	0.432098765	2.222222222	2.166666667	4	0.698322505	14	13.66666667	2.0472	215.0416667	0.533898305	3.44	2.46
mp-7827	-3.021366245	0.859504132	2.909090909	2.545454545	4	0.552978412	14	10.72727273	3.0324	1631.387273	0.416666667	3.04	2.22
mp-680168	-2.498941697	1.214285714	2.928571429	1.714285714	5	0.484452142	14	32.78571429	1.3798	1520.868571	0.18404908	3.04	2.22
mp-640915	-2.946924247	1.088757396	2.461538462	1.615384615	5	0.590857365	14	14	3.6339	262.4892308	0.609375	3.44	2.51
mp-557488	-2.617984218	0	2	2	1	1	14	16	2.446	388.36	0.666666667	2.58	0
mp-554581	-2.469801199	1.107438017	2.636363636	1.818181818	4	0.674199862	14	20.27272727	2.6291	457.6954545	0.557377049	2.58	1.76
mp-758151	-2.411169058	0.989795918	2.357142857	1.571428571	4	0.630840062	14	8.928571429	0.226	312.505	0.584615385	3.44	2.46
mp-761857	-2.924455594	1.6	3	2.2	4	0.64807407	14	10.2	3.0096	822.849	0.541666667	3.44	2.46
mp-27351	-3.18709132	1	2	2	3	0.637377439	14	17.5	1.889	222.41625	0.551724138	3.16	1.11
mp-697761	-2.638273486	0.888888889	2.666666667	1.833333333	3	0.707106781	14	12	1.1257	342.5833333	0.527777778	3.44	1.89
mp-7423	-2.995681636	2.333333333	3.75	1.333333333	3	0.716860439	14	27.08333333	1.8171	661.0333333	0.344086022	3.44	2.27
mp-560077	-3.294998037	0.59375	1.25	1.25	5	0.612372436	14	16.375	2.2322	152.92875	0.550724638	3.98	1.8
mp-29543	-2.739930282	0.444444444	2.333333333	2.333333333	3	0.623609564	14	14.66666667	3.215	215.5	0.5	3.44	1.25
mp-625815	-3.176530336	0.661157025	1.454545455	0.727272727	3	0.755147624	14	2.727272727	3.9252	26.63454545	0.416666667	3.44	1.24
mp-770735	-2.289037472	1.222222222	2.333333333	1.333333333	3	0.707106781	14	14.33333333	2.2721	515.3133333	0.380952381	3.44	1.79
mp-571662	-2.408936173	1.32	2.8	1.8	4	0.64807407	14	31	1.9559	512.813	0.272727273	2.55	1.73
mp-568817	-3.170057801	1.125	2	1.4375	4	0.631219059	14	6.75	3.5584	1029.32125	0.306451613	3.04	0.84
mp-560097	-2.931816736	0.64	1.6	1.6	3	0.663324958	14	19.2	3.2536	400.412	0.444444444	3.44	2.44
mp-761914	-2.248721435	0	1	0.666666667	3	0.707106781	14	14.33333333	1.0202	317.1033333	0.5	3.98	3
mp-690765	-2.510042505	0.473372781	1.692307692	1.538461538	4	0.657231057	14	8.461538462	1.8398	166.6261538	0.625	3.44	2.13
mp-553981	-2.295850084	1.111111111	1.666666667	0.666666667	3	0.707106781	14	16.33333333	2.3279	340.91	0.555555556	3.98	3.16
mp-601210	-2.559092019	0.833333333	2	1.583333333	4	0.565194165	14	4.666666667	3.1063	666.525	0.547619048	3.44	1.24
mp-769319	-2.53461819	1.555555556	2.333333333	1	4	0.527046277	14	13	3.1672	570.0483333	0.5625	3.98	3
mp-27811	-2.70774548	0.345679012	1.777777778	1.555555556	3	0.638284739	14	16.66666667	3.4818	291.8555556	0.4375	3.44	2.46
mp-758145	-2.425969543	1.107438017	2.636363636	1.818181818	4	0.674199862	14	10.09090909	0.1	310.2627273	0.596491228	3.44	2.46
mp-14276	-3.089913193	1.12	1.8	1.5	3	0.734846923	14	27.2	1.8129	381.272	0.342105263	3.98	1.7
mp-667336	-2.349693157	1.406427221	2.608695652	1.391304348	3	0.728828461	14	50.95652174	1.0936	832.7356522	0.235294118	2.1	1.31
mp-556587	-3.274094082	0.197530864	1.111111111	1	3	0.793492048	14	23.77777778	1.8347	325.21	0.4875	3.16	0.62
mp-561511	-2.3555621	0.666666667	3	1.666666667	3	0.577350269	14	25	0.7361	1096.453333	0.24137931	2.58	0.75
mp-769287	-2.185087285	1.777777778	2.666666667	1	4	0.527046277	14	11.33333333	2.2506	613.3166667	0.5	3.44	2.46
mp-705530	-3.642078487	1	2	1.75	4	0.5077524	14	9.5	3.6255	125.599375	0.611111111	3.16	0.97
mp-556346	-2.636389336	1.313609467	2.461538462	1.615384615	3	0.733799386	14	22.30769231	3.3438	219.8269231	0.463636364	3.44	2.31
mp-722382	-2.459671401	0.792243767	1.684210526	1.105263158	5	0.629382144	14	4.105263158	0.2931	244.1952632	0.5	3.44	1.25
mp-680334	-2.45842163	2	3	1.5	4	0.527046277	14	35	2.0983	567.5166667	0.328125	2.96	1.86
mp-13772	-2.178486931	2.346020761	3.411764706	1.941176471	4	0.596993621	14	12.58823529	4.7083	665.0747059	0.513157895	3.44	2.46
mp-568534	-2.282330079	0.495867769	2.909090909	2.909090909	4	0.522232968	14	17.09090909	2.2423	956.6636364	0.395348837	3.04	0.85
mp-555064	-2.146910896	0.979591837	2.285714286	2.285714286	3	0.654653671	14	13.14285714	3.3319	1208.488571	0.454545455	3.44	1.75
mp-559575	-2.643975482	0.446280992	1.272727273	1.272727273	4	0.623241327	14	25.45454545	1.3837	278.6863636	0.419354839	3.98	1.8
mp-624200	-2.528709316	1.5	3	1.125	3	0.637377439	14	49.5	1.4075	1577.35	0.145833333	2.96	1.06
mp-505141	-3.115775199	0.235294118	2	1.882352941	3	0.833967463	14	22.58823529	1.4651	385.0176471	0.58	2.58	1.79
mp-722351	-2.841639619	0.913580247	2.222222222	1.888888889	4	0.532870169	14	15.33333333	1.907	178.7233333	0.327586207	3.04	0.84
mp-722988	-3.910119606	0.636033058	1.672727273	1.2	5	0.605484575	14	5.927272727	3.5409	67.35127273	0.534653465	3.44	1.34
mp-5282	-2.234331966	0.875	2.25	2	3	0.612372436	14	17.25	2.3498	1291.8825	0.37037037	3.44	1.51
mp-504902	-3.112386638	1.333333333	2	2	2	0.745355992	14	28	2.6702	739.5333333	0.315789474	2.96	1.06
mp-567604	-3.404511494	0.96	1.6	1.6	2	0.824621125	14	34.4	3.0755	454.92	0.268292683	2.96	0.95
mp-28211	-4.203474233	0.488888889	1.333333333	1.133333333	3	0.763034876	14	20.8	1.8439	386.112	0.56779661	3.16	0.96
mp-554847	-3.078317166	0.72	1.6	1.6	4	0.64807407	14	18.4	2.2525	236.028	0.594594595	3.44	1.39
mp-568060	-2.943097816	0.727272727	2	1.636363636	3	0.609836721	14	33.45454545	1.2979	683.5981818	0.214285714	2.1	1.17
mp-733598	-3.525793938	0.622222222	1.466666667	0.733333333	5	0.635959468	14	8.933333333	2.7728	171.6526667	0.306451613	3.44	1.24
mp-570796	-3.041917499	0.555555556	1.333333333	1.333333333	2	0.849836586	14	22.66666667	1.852	293.63	0.56	3.16	1.11
mp-19453	-2.560668411	0.72	2.4	1.8	3	0.734846923	14	20.2	2.81	472.492	0.45	3.44	1.34
mp-30137	-3.066516255	5.125	5.75	1.333333333	3	0.716860439	14	27.58333333	1.6189	721.2833333	0.323232323	3.44	2.24
mp-28845	-2.943097816	0.666666667	2	1.333333333	3	0.623609564	14	19.66666667	2.3215	596.2333333	0.407407407	3.98	1.78
mp-560863	-2.844666089	1.08	2.6	1.8	3	0.734846923	14	21.4	3.7518	339.46	0.461538462	3.44	2.14
mp-554942	-2.818158412	0.446280992	1.272727273	1.272727273	4	0.623241327	14	28.72727273	1.9328	282.5445455	0.419354839	3.98	1.93
mp-554517	-2.609066129	1.111111111	1.666666667	0.666666667	3	0.707106781	14	12	2.0525	350.645	0.555555556	3.98	3.05
mp-28005	-3.21968773	0.207612457	2.117647059	2.117647059	3	0.737056711	14	12.35294118	4.599	235.4517647	0.55	3.44	1.26
mp-771750	-2.712199837	0.592592593	1.555555556	1.555555556	3	0.711458249	14	21.33333333	3.7019	239.1666667	0.472222222	3.44	2.49
mp-778115	-2.396856385	0.875	2.25	2	4	0.58630197	14	15.75	2.5646	502.3725	0.344827586	3.44	2.46
mp-541053	-2.860123117	1.333333333	2	2	2	0.745355992	14	40	2.2811	820.2333333	0.315789474	2.66	0.76
mp-759596	-3.046727048	0.446280992	2.181818182	2.090909091	4	0.674199862	14	15.63636364	4.0556	183.2990909	0.451219512	3.44	2.46
mp-555952	-4.958883772	1.012491782	1.897435897	1.794871795	5	0.613779959	14	13.58974359	4.4456	786.305641	0.560283688	3.98	1.93
mp-29514	-2.455932825	0.555555556	1.333333333	1.166666667	3	0.707106781	14	8.666666667	7.5495	90.885	0.676470588	3.98	1.79
mp-555034	-2.690371323	0.446280992	1.272727273	1.272727273	4	0.623241327	14	27.09090909	1.8929	299.4736364	0.419354839	3.98	1.88
mp-28643	-2.950784691	1.047091413	2.105263158	1.631578947	3	0.671955018	14	4.105263158	4.5699	237.7126316	0.5	3.04	0.84
mp-13019	-2.568637362	2.72	3.8	1.2	4	0.64807407	14	24.6	3.9652	637.567	0.387096774	3.44	2.51
mp-29264	-3.291585049	0.197530864	1.111111111	1.111111111	3	0.793492048	14	20.88888889	1.6611	219.6011111	0.611111111	3.16	0.58
mp-769411	-2.548214638	0.96398892	2.210526316	1.894736842	4	0.593127772	14	8.210526316	3.5872	587.5326316	0.5	3.44	2.46
mp-768385	-3.869688752	1.48	1.6	0.7	3	0.734846923	14	39.6	3.9604	565.96	0.277777778	2.96	2.07
mp-754162	-2.493495915	5.375	5.25	1	3	0.612372436	14	20.75	3.0626	537.3225	0.347826087	3.44	2.46
mp-709098	-3.025491531	0.666666667	2	1.666666667	3	0.623609564	14	9.333333333	2.0226	836.0166667	0.583333333	2.58	0.38
mp-770693	-2.896198673	1.25	2.5	1.833333333	4	0.589255651	14	9	1.399	422.9841667	0.5	3.44	2.46
mp-10771	-2.636389336	0.930747922	2.736842105	1.894736842	3	0.684210526	14	26.21052632	2.3623	866.3852632	0.409090909	2.58	1.36
mp-557470	-2.57186634	0.64	1.6	1.466666667	5	0.520683312	14	16.13333333	4.3549	227.2786667	0.538461538	3.98	3.16
mp-704306	-2.782517898	4.32	4.533333333	1.333333333	4	0.696020434	14	22.93333333	1.6901	462.204	0.5	3.44	2.62
mp-866688	-2.440094212	0.622222222	1.733333333	1.466666667	4	0.614636297	14	37.86666667	1.4224	508.0673333	0.25	2.55	1.76
mp-770400	-3.033861554	0.71875	2.125	1.625	4	0.58630197	14	9.875	1.6721	473.50625	0.435897436	3.44	2.46
mp-616597	-2.343902469	0.944444444	2.166666667	1.333333333	3	0.707106781	14	31.16666667	2.758	652.0866667	0.225352113	3.44	1.54
mp-757084	-2.698971524	0.612244898	1.714285714	1.285714286	3	0.622699849	14	26.57142857	2.7857	286.5085714	0.416666667	3.44	2.62
mp-755943	-2.202732944	0.888888889	1.333333333	1.333333333	3	0.707106781	14	52.33333333	2.6263	543.835	0.224489796	2.66	1.66
mp-645555	-2.605549545	4.024691358	4.444444444	1.333333333	4	0.693888666	14	20.22222222	1.9565	472.9255556	0.5	3.44	2.62
mp-560169	-2.463442441	0.64	2.8	2.8	3	0.6	14	10.4	0.5513	945.164	0.615384615	3.04	0.49
mp-29718	-3.129600192	1.983471074	2.363636364	0.636363636	3	0.698285977	14	46.72727273	2.6778	1289.139091	0.184210526	2.96	1.03
mp-16402	-2.630785442	1.1966759	2.947368421	1.894736842	3	0.684210526	14	26	2.3656	854.5957895	0.421875	2.58	1.37
mp-707483	-2.696805455	0.90625	2.25	1.5	4	0.631219059	14	8	2.9733	195.3025	0.583333333	3.44	1.9
mp-17160	-2.69250546	0.691358025	1.444444444	0.777777778	3	0.793492048	14	23	2.3331	455.6555556	0.411764706	3.98	2.76
mp-756758	-2.665547656	0.497777778	1.533333333	1.2	4	0.614636297	14	13.53333333	0.5808	175.0606667	0.432989691	3.44	1.54
mp-776795	-2.703336345	2	2	0.714285714	3	0.742307489	14	38.57142857	3.8401	589.7142857	0.277777778	2.96	2.07
mp-23626	-2.769552867	0.48	1.6	1.4	4	0.64978629	14	18.26666667	3.8084	191.5726667	0.472222222	3.44	2.62
mp-707208	-2.759452499	0.941828255	1.894736842	1.473684211	6	0.507560566	14	7.789473684	2.8521	506.5368421	0.487179487	3.16	0.96
mp-768936	-2.879428372	0.415224913	2.235294118	2.235294118	3	0.737056711	14	14.35294118	2.3405	166.6376471	0.542372881	3.44	1.48
mp-28721	-3.268416875	0.396694215	1.272727273	1.090909091	3	0.755147624	14	22.36363636	1.9064	380.9927273	0.52173913	3.16	0.88
mp-561083	-2.958610079	0.428571429	2	1.785714286	4	0.630840062	14	15	4.2047	195.0007143	0.455555556	3.44	2.51
mp-782647	-3.110142197	0.625	2.25	1.8125	4	0.667317391	14	9.75	1.3778	245.3925	0.583333333	3.44	2.46
mp-541148	-2.565432214	4.024691358	4.444444444	1.333333333	4	0.693888666	14	20.22222222	1.9993	472.9255556	0.5	3.44	2.62
mp-29080	-2.444906398	1.44	1.8	0.6	3	0.678232998	14	28.2	4.2565	450.641	0.277777778	2.96	2.03
mp-26701	-3.177836499	0.6	2.2	2.05	4	0.644204936	14	12.5	2.4807	199.0365	0.516949153	3.44	2.46
mp-23755	-2.769552867	0.826530612	2.071428571	1.857142857	4	0.589015089	14	9.5	2.858	921.045	0.576271186	3.44	2.55
mp-555131	-3.225488143	0.875	2.25	2	3	0.612372436	14	19.25	4.1556	1058.5475	0.588235294	3.44	2.65
mp-707071	-2.494850972	1.037037037	2	1.62962963	6	0.487146164	14	6.37037037	4.5338	632.0548148	0.490566038	3.44	1.79
mp-761041	-2.686134256	1.12	2.8	2	3	0.734846923	14	10.8	2.7332	295.92	0.607142857	3.44	1.9
mp-780872	-2.35359696	1.102040816	2.571428571	1.714285714	4	0.622699849	14	10.57142857	0.982	554.1271429	0.5	3.44	2.46
mp-555288	-2.823910768	0.446280992	1.272727273	1.272727273	4	0.623241327	14	20.54545455	2.5783	219.14	0.456140351	3.98	1.93
mp-770910	-2.628933432	1.25	2.5	1.833333333	4	0.589255651	14	7.666666667	1.3211	658.7391667	0.5	3.44	2.46
mp-761773	-2.774692528	0.432098765	2.222222222	2.166666667	4	0.707106781	14	11.66666667	3.7771	182.4594444	0.583333333	3.44	2.46
mp-573727	-2.3809074	0.997229917	1.947368421	1.894736842	4	0.638123982	14	58.36842105	1.1646	473.0794737	0.169411765	2.96	0.94
mp-567998	-2.560668411	0	1	1	2	0.707106781	14	35	1.8619	279.225	0.416666667	3.16	0.5
mp-27093	-3.112386638	0.6	2.2	2.05	4	0.644204936	14	12.5	2.6089	199.0365	0.516949153	3.44	2.46
mp-573751	-3.578407589	0.864197531	1.555555556	1.555555556	3	0.793492048	14	20.44444444	3.2818	317.4811111	0.588235294	3.16	1.55
mp-30529	-2.525784756	1.71875	2.25	1.5625	2	0.755190373	14	2.25	4.7472	743.381875	0.192307692	2.2	0.16
mp-540808	-3.307159247	0.462809917	2.363636364	2.363636364	3	0.582102203	14	10.54545455	1.5264	179.0945455	0.64516129	3.44	0.86
mp-768378	-3.759468224	1.48	1.6	0.7	3	0.734846923	14	39.6	3.6379	565.96	0.277777778	2.96	2.07
mp-570539	-2.37263486	0.84	2.4	2.1	2	0.761577311	14	34.2	1.5282	856.738	0.194444444	2.18	1.36
mp-557570	-3.370597537	0.446280992	1.272727273	1.272727273	4	0.623241327	14	22.18181818	3.083	266.46	0.419354839	3.98	1.88
mp-559498	-2.790486862	0.567901235	1.851851852	1.518518519	3	0.614189776	14	25.55555556	1.072	239.3766667	0.288793103	3.44	2.62
mp-27798	-3.114077613	1.975308642	2.777777778	2.222222222	2	0.711458249	14	2.777777778	2.8856	1051.338889	0.235294118	2.2	0.16
mp-569984	-3.735198699	0	1	0.6875	3	0.723489806	14	44.25	1.1427	406.451875	0.229166667	2.96	2.17
mp-560311	-2.59006806	0.54	1.3	0.6	3	0.678232998	14	11.3	3.1439	324.461	0.566037736	3.98	3.05
mp-28390	-2.920821287	0.5625	2.75	2.75	3	0.637377439	14	10.25	1.9701	655.035	0.619047619	3.04	0.49
mp-561065	-2.468521977	1.44	2.8	1.733333333	4	0.696020434	14	11.06666667	3.1269	399.1733333	0.575	3.44	2.13
mp-542785	-2.774692528	0.817777778	1.733333333	1.333333333	4	0.584997626	14	5.2	4.8745	598.7906667	0.538461538	3.44	2.13
mp-27748	-2.337242829	1.659863946	2.095238095	1.428571429	3	0.726873215	14	2.285714286	4.2788	754.4828571	0.176470588	2.2	0.63
mp-27353	-5.057843072	0.555555556	1.333333333	1.333333333	3	0.623609564	14	18.66666667	1.8671	234.58	0.56	3.98	1.93
mp-689963	-2.931816736	1.111111111	2.833333333	1.833333333	3	0.707106781	14	11.83333333	2.0444	452.75	0.542857143	3.44	1.78
mp-27697	-2.193142444	2.24	2.4	0.8	2	0.824621125	14	60.4	1.8452	714.08	0.277777778	2.66	1.36
mp-555516	-2.838634095	0.743801653	1.818181818	1.363636364	3	0.596130775	14	4.545454545	3.2573	38.50909091	0.552631579	3.44	1.24
mp-29416	-2.809670263	4.0625	4.5	1.0625	3	0.65550553	14	38.875	1.5334	1003.6375	0.26344086	2.96	1.83
mp-768939	-3.127847808	0.415224913	2.235294118	2.235294118	3	0.737056711	14	14.35294118	2.3469	166.6376471	0.542372881	3.44	1.48
mp-765959	-2.735183829	0.897959184	2.285714286	2	6	0.451753951	14	6.714285714	4.5964	627.4678571	0.571428571	3.44	2.51
mp-29655	-2.59006806	1.795918367	2.571428571	2	3	0.654653671	14	2.857142857	4.7225	1225.005714	0.285714286	2.55	0.51
mp-28271	-3.386165575	1.368421053	2	2	3	0.734960002	14	19.57894737	4.1516	293.1	0.463414634	3.98	2.02
mp-541236	-2.001740967	1.604938272	2.444444444	1	3	0.657342198	14	25.11111111	0.9032	847.8166667	0.132352941	2.18	1.25
mp-561270	-2.239578045	0.982248521	2.153846154	1.846153846	6	0.480384461	14	8.769230769	2.6395	657.1438462	0.483870968	3.98	2.02
mp-27383	-2.76447332	1.916666667	3.166666667	1.333333333	3	0.716860439	14	18	0.7344	837.1808333	0.432432432	3.44	1.84
mp-570053	-2.400117692	0.997229917	1.947368421	1.894736842	4	0.638123982	14	48.89473684	1.3163	438.2594737	0.214925373	3.16	1.14
mp-581963	-2.266803297	1.354166667	2.583333333	1.416666667	3	0.738335214	14	49	0.9008	881.2225	0.206060606	2.1	1.28
mp-26157	-2.494850972	0.432098765	2.222222222	2.166666667	4	0.707106781	14	11.66666667	4.4631	182.4594444	0.583333333	3.44	2.46
mp-554265	-3.375725125	1.333333333	2	1.111111111	4	0.693888666	14	18.44444444	3.2649	400.0844444	0.655172414	3.44	2.11
mp-559212	-2.53461819	0.888888889	2.333333333	1.333333333	4	0.577350269	14	25.33333333	2.8006	720.7033333	0.347826087	3.44	2.62
mp-655078	-3.232107572	0.532778356	1.483870968	1.032258065	5	0.602630377	14	7.225806452	2.4701	99.28322581	0.524590164	3.44	2.62
mp-556548	-2.085657213	1.2	3	3	3	0.678232998	14	14.6	4.0679	791.72	0.405405405	3.44	1.42
mp-613545	-3.510051359	0.56	1.4	1.1	3	0.734846923	14	23.2	1.8899	442.62	0.477777778	3.16	0.88
mp-776479	-2.397940769	2	2	0.714285714	3	0.742307489	14	51.42857143	2.7575	676.1785714	0.277777778	2.66	1.77
mp-23668	-2.712199837	1	2	1.5	4	0.593171014	14	4	3.2124	872.2411111	0.5	3.44	1.24
mp-684119	-2.709966948	0.752066116	2.454545455	2.045454545	4	0.721568539	14	10	1.4422	218.3268182	0.625	3.44	2.46
mp-738663	-2.412289821	0.927467301	2.068965517	1.724137931	6	0.498511458	14	8.206896552	2.4831	592.0193103	0.484848485	3.98	2.02
mp-770343	-2.850783043	1.5	2.666666667	1.833333333	4	0.589255651	14	7.5	2.7009	714.0725	0.52	3.44	2.46
mp-27750	-3.324228072	0.419753086	1.111111111	1.111111111	3	0.793492048	14	16.66666667	2.902	180.6444444	0.536585366	3.98	1.8
mp-3967	-2.777285349	0.666666667	2	1.666666667	3	0.577350269	14	8.666666667	3.396	162.9066667	0.583333333	3.44	2.51
mp-573109	-2.856987387	1.08	2.6	1.8	3	0.703562364	14	19.9	3.605	293.62	0.413793103	3.44	2.27
mp-770499	-2.636389336	1.12	2.933333333	1.6	3	0.669991708	14	13.46666667	2.1897	480.2533333	0.456521739	3.44	1.89
mp-774432	-2.974697003	0.5	1.5	0.8	4	0.547722558	14	10.7	1.8116	398.133	0.41025641	3.44	2.62
