MPID	log($PF_n$)	${\bar N_{{\rm{dU}}}}$	$N_{{\rm{dU}}}^{\max }$	$N_{\rm{U}}^{\max }$	$E_{\rm{g}}$	$\Delta {\bar r_{{\rm{cov}}}}$	$N_{\rm{M}}^{\max }$	${f_{\rm{p}}}$	$SG$	$T_{\rm{M}}^{\max }$	$\bar \chi $	${L_0}$	$r_{{\rm cov}} ^{\max }$
mp-553956	-1.856985419	0.0	0	4	3.1837	30.4852071	87	0.309859155	12	600.61	2.991538462	3	146
mp-23127	-1.872895429	0.0	0	3	1.9256	54.36	87	0.357142857	12	1000.0	2.649	4	215
mp-655613	-1.886056882	0.0	0	5	0.7543	41.55017301	90	0.178947368	12	1629.0	1.742352941	4	244
mp-570268	-1.910095136	1.0	5	5	0.6098	9.12	96	0.225352113	12	1519.0	2.272	4	139
mp-568498	-1.913640418	0.0	0	8	2.6747	37.2892562	82	0.413793103	12	3823.0	2.566363636	3	198
mp-9254	-1.920819007	0.0	0	5	1.1257	6.93877551	90	0.255813953	12	933.47	1.96	2	138
mp-553874	-1.924453294	0.642857143	9	9	0.0	31.95918367	88	0.244897959	12	1234.93	2.000714286	4	215
mp-27194	-1.928118251	0.0	0	4	1.8334	0.0	96	0.25	12	505.08	2.426666667	2	139
mp-543045	-1.928118251	0.0	0	5	3.0086	34.0	87	0.210526316	12	3823.0	2.685	3	145
mp-29027	-1.939302424	1.75	7	7	0.9266	31.25	96	0.237288136	12	3290.0	2.565	3	170
mp-6238	-1.939302424	1.35483871	7	7	2.8945	46.58896982	90	0.333333333	12	3290.0	2.813548387	4	215
mp-22199	-1.943095416	0.0	0	5	1.5279	23.10204082	88	0.324561404	12	429.75	2.168571429	3	203
mp-20938	-1.946921826	0.0	0	5	1.5323	24.48979592	88	0.324561404	12	429.75	2.168571429	3	220
mp-754326	-1.950782248	0.0	0	2	0.7021	44.75	87	0.333333333	12	1234.93	2.435	3	166
mp-886	-1.950782248	0.0	0	5	2.0406	26.88	87	0.318181818	12	302.91	2.788	2	122
mp-571425	-1.950782248	0.0	0	3	0.9318	10.63137996	95	0.156069364	12	1234.93	2.310434783	4	145
mp-754991	-1.954677295	0.0	0	5	1.4854	26.81632653	87	0.290322581	12	302.91	2.684285714	3	122
mp-7657	-1.958607591	0.0	0	4	1.9176	35.14285714	90	0.254545455	12	1687.0	1.522857143	3	203
mp-16998	-1.966576526	1.161290323	6	7	2.214	45.01560874	90	0.479166667	12	2750.0	2.832903226	4	215
mp-553281	-1.966576526	1.5	9	9	3.0489	64.44	87	0.5	12	2750.0	2.512	4	215
mp-571404	-1.966576526	0.0	0	2	1.1259	6.040816327	96	0.125	12	494.0	2.345714286	3	139
mp-754262	-1.970616506	0.0	0	3	1.7745	25.2231405	87	0.354166667	12	1090.0	2.885454545	3	122
mp-29096	-1.974694422	0.0	0	2	1.5431	9.551020408	95	0.14516129	12	388.36	2.44	3	132
mp-758038	-1.978810991	3.0	9	9	1.987	51.79591837	87	0.5	12	1941.0	2.698571429	3	207
mp-765902	-1.978810991	0.8	2	2	1.9126	28.8	87	0.243902439	12	1728.0	2.649	3	124
mp-866522	-1.978810991	0.0	0	4	1.06	28.73469388	88	0.428571429	12	1115.0	2.04	3	176
mp-30291	-1.982966953	0.0	0	5	1.4002	46.22222222	89	0.176470588	12	1629.0	2.063333333	3	194
mp-567371	-1.98716307	0.0	0	4	2.0572	37.22666667	82	0.323529412	12	1211.4	1.935333333	4	195
mp-754745	-1.98716307	0.0	0	4	2.4747	45.5	87	0.411764706	12	505.08	2.356666667	3	166
mp-12883	-1.98716307	0.0	0	3	3.6276	0.0	83	0.6	12	317.3	2.19	1	107
mp-2874	-1.995678927	0.0	0	5	2.7065	28.0	87	0.447368421	12	1687.0	2.858181818	3	142
mp-31069	-2.000000304	0.0	0	4	2.0702	35.48582231	87	0.237179487	12	600.61	2.945217391	3	146
mp-632706	-2.003488634	0.0	0	3	4.5678	27.94666667	94	0.407407407	12	692.68	2.515333333	4	122
mp-551092	-2.003926653	0.0	0	2	2.3118	40.8	87	0.307692308	12	692.68	2.066	4	203
mp-571409	-2.005243363	0.0	0	1	4.3567	38.72	95	0.277777778	12	453.69	1.932	3	244
mp-643902	-2.006564079	0.0	0	4	3.1084	24.0	93	0.428571429	12	505.08	2.755555556	4	139
mp-27140	-2.008774234	0.0	0	3	1.8587	43.08650519	87	0.4375	12	903.78	2.804705882	3	203
mp-22853	-2.008774234	1.25	5	6	0.1459	19.5	94	0.555555556	12	2896.0	2.91	2	154
mp-755643	-2.012781083	0.0	0	5	1.8418	66.12244898	87	0.382352941	12	429.75	2.08	3	220
mp-5618	-2.015023189	0.0	0	3	3.058	29.61983471	87	0.447368421	12	1090.0	2.823636364	3	141
mp-13743	-2.018634808	0.0	0	5	2.9293	60.24489796	87	0.382352941	12	336.53	2.084285714	3	203
mp-695850	-2.018634808	0.0	0	1	3.5171	18.66666667	94	0.384615385	12	594.22	2.67	2	144
mp-753693	-2.022734108	0.0	0	4	3.851	41.65289256	87	0.333333333	12	1747.0	2.778181818	3	192
mp-753923	-2.023191984	0.0	0	3	2.1913	80.81632653	87	0.352941176	12	1747.0	1.988571429	3	244
mp-756951	-2.023191984	0.0	0	3	2.751	32.4	87	0.441176471	12	903.78	2.67	3	139
mp-754971	-2.024109185	0.0	0	2	2.2674	80.57142857	87	0.333333333	12	1818.0	1.991428571	3	244
mp-754621	-2.0264107	0.0	0	8	3.8762	43.04132231	87	0.372093023	12	1345.0	2.767272727	3	198
mp-755541	-2.027334732	1.285714286	9	9	2.2607	80.57142857	87	0.5	12	1799.0	1.987142857	3	244
mp-754161	-2.027797486	0.0	0	3	2.0084	72.0	87	0.352941176	12	1747.0	2.001428571	3	220
mp-757116	-2.030118682	0.0	0	2	2.0414	71.63265306	87	0.342857143	12	1770.0	2.002857143	3	220
mp-756868	-2.031517378	0.0	0	4	1.9797	72.0	87	0.363636364	12	1685.0	2.0	3	220
mp-540644	-2.031984613	0.0	0	4	1.3399	5.619834711	96	0.256097561	12	505.08	2.398181818	3	139
mp-755013	-2.032920594	0.636363636	7	7	3.72	34.21487603	87	0.37037037	12	3290.0	2.145454545	3	170
mp-769466	-2.032920594	1.636363636	9	9	3.9088	41.19008264	87	0.421052632	12	1799.0	2.776363636	3	190
mp-6660	-2.033389341	0.0	0	5	3.6503	53.33333333	87	0.541666667	12	2348.0	2.363333333	4	215
mp-559766	-2.033858596	0.0	0	1	5.6556	81.0	93	0.625	12	453.69	2.40875	3	244
mp-557662	-2.034328358	0.0	0	4	5.0192	30.49309665	93	0.59375	12	1687.0	2.753589744	5	176
mp-10935	-2.034798628	0.0	0	3	5.5088	42.09375	93	0.470588235	12	1770.0	2.7625	5	189
mp-556477	-2.03715765	3.6	9	9	4.2839	58.08	87	0.230769231	12	1936.0	2.572	2	187
mp-510240	-2.039054137	0.0	0	2	0.1922	31.85185185	88	0.1875	12	1234.93	1.9	3	220
mp-543034	-2.039054137	0.0	0	4	2.6636	35.81314879	90	0.4	12	1687.0	2.678529412	5	215
mp-757905	-2.039054137	0.571428571	8	8	0.1442	29.55102041	87	0.584615385	12	1941.0	2.598571429	4	160
mp-561491	-2.039529555	0.0	0	4	5.2199	34.74	93	0.604166667	12	1687.0	2.7165	6	203
mp-7064	-2.041914486	0.0	0	4	4.7986	38.87603306	87	0.41025641	12	1770.0	2.76	3	189
mp-567655	-2.043831906	0.0	0	4	4.3559	45.14285714	94	0.5625	12	3823.0	2.407142857	4	195
mp-696878	-2.043831906	0.0	0	3	4.9665	50.10666667	92	0.59375	12	1115.0	2.504	5	203
mp-541162	-2.044793799	0.0	0	1	6.8917	50.48888889	93	0.625	12	1000.0	3.034	3	215
mp-530722	-2.046724002	0.0	0	5	4.337	30.20408163	87	0.5625	12	933.47	2.612857143	3	141
mp-560653	-2.050122637	0.0	0	4	4.5937	35.35802469	87	0.5625	12	1687.0	2.163888889	5	220
mp-556523	-2.050610335	0.6	9	9	2.1421	41.92	94	0.204545455	12	1193.0	2.821333333	4	207
mp-10804	-2.053057073	1.125	9	9	5.4907	42.25	93	0.6	12	1799.0	2.76	5	190
mp-554752	-2.05403964	0.0	0	4	4.7207	33.48148148	87	0.5625	12	1687.0	2.166666667	4	220
mp-760697	-2.05650583	0.0	0	5	5.1898	19.64285714	93	0.465517241	12	302.91	2.800714286	4	122
mp-29364	-2.057000754	0.0	0	3	2.9218	31.65289256	87	0.46	12	903.78	2.195454545	3	139
mp-720245	-2.057496241	0.0	0	4	3.925	34.59259259	87	0.5625	12	1687.0	2.164444444	6	244
mp-21497	-2.057992294	0.0	0	4	3.3214	31.09375	88	0.304347826	12	600.61	3.055	3	146
mp-6929	-2.058986104	0.0	0	3	3.3454	37.71900826	87	0.447368421	12	1115.0	2.767272727	3	176
mp-5652	-2.060980574	1.636363636	9	9	4.8078	39.10743802	87	0.571428571	12	1799.0	2.756363636	3	190
mp-757430	-2.067019533	0.0	0	3	1.2572	28.875	87	0.452380952	12	1357.77	2.47625	4	132
mp-5813	-2.068034241	2.333333333	7	7	2.2546	45.11111111	87	0.233333333	12	3290.0	2.66	3	170
mp-27480	-2.070070797	0.0	0	4	2.6657	37.92	93	0.375	12	505.08	3.064	3	139
mp-865188	-2.078834314	0.0	0	2	5.3273	20.32514178	94	0.604166667	12	923.0	2.89173913	4	141
mp-675778	-2.078834314	1.8	9	9	7.0374	52.5	93	0.625	12	1799.0	3.123	3	190
mp-581875	-2.081445836	0.75	7	7	2.3455	40.68367347	87	0.252717391	12	3290.0	2.877142857	3	170
mp-18780	-2.084073157	0.857142857	6	6	4.5137	60.40816327	87	0.347826087	12	3695.0	2.537142857	3	203
mp-28712	-2.088842764	0.0	0	4	1.5795	30.24	87	0.155339806	12	1687.0	2.658666667	3	132
mp-541989	-2.090444345	0.0	0	4	3.0415	44.8	82	0.5	12	3823.0	2.098	3	166
mp-778492	-2.090444345	1.066666667	8	8	2.6293	49.03111111	87	0.5	12	1941.0	2.182666667	3	166
mp-760655	-2.092051854	0.0	0	3	3.5942	28.57142857	87	0.455555556	12	544.4	2.632857143	4	148
mp-10408	-2.095284834	0.0	0	4	3.1433	62.56	82	0.5	12	3823.0	2.054	3	203
mp-12803	-2.095826011	0.0	0	2	7.2197	55.80165289	93	0.465116279	12	1770.0	3.200909091	3	215
mp-758533	-2.095826011	0.0	0	3	2.9136	27.83673469	87	0.539473684	12	903.78	2.635	4	139
mp-549737	-2.097453601	0.0	0	5	4.0805	52.16528926	87	0.541666667	12	2348.0	2.5	4	215
mp-760582	-2.100727196	0.0	0	1	2.1273	38.33333333	93	0.441176471	12	1234.93	2.638333333	3	145
mp-7744	-2.102923382	0.0	0	2	5.8027	23.44444444	93	0.65625	12	453.69	2.976666667	4	128
mp-756597	-2.102923382	1.333333333	8	8	4.699	38.83333333	87	0.315789474	12	2506.0	2.263333333	3	175
mp-644101	-2.105684325	0.0	0	4	4.3583	26.44444444	96	0.315789474	12	3823.0	2.366666667	4	139
mp-776387	-2.105684325	3.2	8	8	0.3709	43.52	87	0.416666667	12	1941.0	2.52	3	160
mp-754730	-2.105684325	0.0	0	1	3.0182	20.66666667	96	0.277777778	12	1115.0	2.098333333	3	195
mp-696283	-2.111259432	0.0	0	3	2.411	20.71111111	92	0.59375	12	388.36	2.72	4	105
mp-31049	-2.115205032	0.0	0	10	3.5141	60.0	87	0.444444444	12	1294.0	2.673333333	2	201
mp-674972	-2.127261581	0.0	0	4	3.1415	40.73525377	94	0.348837209	12	600.61	2.486296296	3	220
mp-24303	-2.129596505	0.0	0	3	5.4068	22.37336504	92	0.522727273	12	923.0	2.615747126	5	141
mp-555424	-2.132532924	0.4	6	7	2.3702	25.76	87	0.607142857	12	2750.0	2.986	4	176
mp-7601	-2.134304354	1.0	6	7	3.4496	34.22222222	87	0.404761905	12	2750.0	2.861666667	3	164
mp-561133	-2.136083039	1.0	6	7	2.5565	54.01041667	87	0.5	12	2750.0	2.614583333	3	195
mp-758720	-2.136083039	0.0	0	1	1.5711	35.83333333	93	0.517241379	12	1357.77	2.556666667	3	132
mp-504827	-2.137272889	0.0	0	5	3.1092	29.55017301	87	0.281609195	12	1211.4	2.820588235	4	146
mp-556253	-2.137869039	0.0	0	2	4.2003	59.52	87	0.25	12	1818.0	2.564	2	190
mp-707729	-2.139063798	0.0	0	4	4.1758	29.5546875	92	0.535714286	12	3823.0	2.546875	6	215
mp-752549	-2.140261854	0.0	0	1	1.7782	39.75	93	0.384615385	12	1234.93	2.7175	3	145
mp-761148	-2.140261854	2.4	8	8	1.8013	40.84444444	87	0.482352941	12	1941.0	2.820666667	3	160
mp-12016	-2.142065157	0.0	0	4	2.913	50.44444444	88	0.583333333	12	1687.0	1.88	3	220
mp-27927	-2.142065157	1.0	6	7	3.4056	34.0	87	0.53125	12	2750.0	2.828333333	3	164
mp-568819	-2.152427773	0.050847458	1	3	1.2075	12.57569664	95	0.189873418	12	2041.4	2.606779661	3	148
mp-760483	-2.159267204	0.0	0	2	1.4232	32.83333333	87	0.4	12	1828.05	2.413333333	3	139
mp-554412	-2.161781219	0.583333333	7	7	3.3575	37.77777778	87	0.487179487	12	3290.0	2.851666667	4	220
mp-559118	-2.165579741	0.583333333	7	7	3.3837	40.44444444	87	0.487179487	12	3290.0	2.849166667	4	244
mp-768747	-2.172631179	0.0	0	5	2.3887	30.07407407	87	0.411111111	12	2348.0	2.248888889	4	148
mp-558336	-2.173277933	0.0	0	3	4.0837	60.48	87	0.272727273	12	1747.0	2.556	2	192
mp-555286	-2.173925651	0.5	6	7	2.5529	39.77777778	87	0.59375	12	2750.0	2.8575	4	244
mp-546684	-2.178486931	0.0	0	2	0.7734	30.48	89	0.363636364	12	1828.05	3.014	3	139
mp-697253	-2.183096624	0.0	0	4	5.1979	18.63374486	93	0.5625	12	3823.0	2.797037037	5	111
mp-2457	-2.183096624	0.0	0	5	3.9684	61.44	87	0.3	12	1629.0	2.548	2	194
mp-2659	-2.185087285	0.0	0	3	3.6643	21.375	82	0.5625	12	453.69	2.525	2	128
mp-555159	-2.187755771	0.0	0	11	3.6262	65.76	87	0.428571429	12	1204.0	2.516	2	203
mp-1745	-2.189096189	0.0	0	8	3.7691	63.36	87	0.352941176	12	1345.0	2.532	2	198
mp-561973	-2.196543362	0.0	0	2	1.1127	41.62962963	90	0.463768116	12	722.66	2.851111111	3	203
mp-18740	-2.19859677	1.272727273	7	7	2.5957	38.18181818	87	0.368421053	12	2183.0	2.792727273	3	153
mp-560555	-2.199283403	0.0	0	3	0.9739	33.24263039	87	0.338235294	12	1828.05	2.308571429	4	148
mp-556820	-2.200659934	0.0	0	8	4.7234	34.734375	94	0.514563107	12	1687.0	2.734375	4	198
mp-555909	-2.212540021	0.0	0	5	3.784	44.84	94	0.375	12	1629.0	2.7515	4	194
mp-18807	-2.219683192	1.272727273	7	7	2.3404	33.09090909	87	0.368421053	12	2183.0	2.785454545	3	153
mp-5470	-2.220404014	0.0	0	3	1.4351	12.64	88	0.441176471	12	1234.93	2.372	3	145
mp-759381	-2.221849257	0.0	0	3	3.1654	28.38	87	0.425675676	12	544.4	2.7415	4	148
mp-674537	-2.234331966	0.0	0	3	1.7707	48.14404432	87	0.254098361	12	1000.0	2.723157895	3	215
mp-27397	-2.23657253	0.75	3	3	1.6317	7.875	95	0.202702703	12	2739.0	2.77	2	141
mp-684082	-2.23657253	0.0	0	3	4.0041	22.14814815	87	0.583333333	12	903.78	2.948333333	4	139
mp-541081	-2.239578045	0.0	0	2	4.8202	32.2890625	92	0.588235294	12	923.0	2.676875	5	166
mp-553950	-2.244125677	0.0	0	4	2.9613	29.86767486	87	0.433962264	12	1687.0	2.18826087	4	146
mp-5274	-2.251812516	2.666666667	8	8	3.0087	48.59259259	87	0.5	12	2023.0	2.78	3	206
mp-697563	-2.252588736	0.0	0	5	4.3338	27.70938776	92	0.555555556	12	3823.0	2.676857143	6	176
mp-557691	-2.256490784	3.6	9	9	3.4658	67.68	87	0.5	12	1193.0	2.504	2	207
mp-675266	-2.290730633	0.0	0	2	2.987	47.10743802	92	0.545454545	12	1115.0	2.549090909	3	176
mp-569675	-2.294992641	0.0	0	5	1.7021	17.32544379	94	0.244186047	12	1828.05	2.670769231	4	145
mp-27362	-2.297570067	1.2	6	7	1.593	19.36	94	0.580645161	12	2750.0	2.616	3	164
mp-554623	-2.300162881	1.076923077	7	8	3.1379	46.86390533	94	0.345454545	12	3290.0	2.749230769	4	198
mp-559243	-2.308035515	1.076923077	7	10	3.09	47.50295858	94	0.358490566	12	3290.0	2.744615385	4	201
mp-568252	-2.351640672	0.0	0	1	1.7758	31.52662722	94	0.333333333	12	1828.05	2.547692308	4	220
mp-560977	-2.3555621	1.0	8	8	1.2385	28.5625	88	0.575	12	1941.0	2.18125	4	203
mp-17272	-2.374688269	1.2	6	7	0.9992	39.36	87	0.352941176	12	2750.0	2.764	3	164
mp-776273	-2.377786703	3.2	8	8	1.699	50.72	87	0.416666667	12	2128.0	2.436	3	175
mp-28075	-2.386158918	1.777777778	8	8	3.2018	57.03703704	87	0.5	12	1941.0	2.435555556	3	203
mp-554645	-2.393619387	0.0	0	3	2.9909	43.1	93	0.5546875	12	903.78	3.057	5	203
mp-774530	-2.412289821	2.146341463	8	8	2.2143	50.42236764	87	0.5	12	1941.0	2.681463415	3	215
mp-27247	-2.41454006	0.75	6	7	3.7821	49.75	87	0.5	12	2750.0	2.26875	3	166
mp-552056	-2.421361592	0.0	0	4	2.9365	26.24	94	0.333333333	12	3823.0	2.984	4	146
mp-772296	-2.425969543	0.833333333	5	6	2.1917	28.66666667	87	0.380952381	12	2180.0	2.845	3	139
mp-866267	-2.430626909	0.714285714	5	6	2.4155	40.0	94	0.396226415	12	2896.0	2.905714286	4	187
mp-559554	-2.443698343	0.0	0	2	4.0144	32.66666667	90	0.444444444	12	722.66	2.396666667	3	138
mp-616196	-2.45469375	0.444444444	4	4	1.8225	30.96296296	96	0.325581395	12	3823.0	2.832222222	4	144
mp-644418	-2.486783333	0.0	0	4	3.5861	31.125	94	0.575757576	12	3823.0	2.67875	5	176
mp-28671	-2.522879758	1.0	8	8	1.1525	14.21875	95	0.272727273	12	2128.0	2.54125	3	175
mp-29062	-2.54668273	1.6	8	8	5.509	41.06666667	93	0.625	12	2128.0	3.448	3	206
mp-18819	-2.552843055	0.363636364	2	3	3.737	22.90909091	87	0.472222222	12	1728.0	2.934545455	3	124
mp-560352	-2.560668411	0.0	0	3	2.6997	30.4375	102	0.59375	12	1050.0	3.532083333	4	195
mp-649950	-2.575119506	0.333333333	3	4	2.1478	25.62962963	95	0.388888889	12	3823.0	2.898888889	4	146
mp-554702	-2.603801874	1.2	8	8	5.6395	40.28444444	93	0.572916667	12	2128.0	3.285333333	4	175
mp-18988	-2.617984218	0.833333333	5	5	1.9342	32.83333333	87	0.444444444	12	1519.0	2.305	3	139
mp-756983	-2.630785442	0.0	0	4	0.3317	29.33837429	87	0.494382022	12	1687.0	2.169565217	4	132
mp-555272	-2.636389336	0.8	8	8	6.0965	50.765	93	0.625	12	2128.0	2.9525	3	175
mp-3033	-2.640165846	1.4	7	7	3.5455	61.92	87	0.315789474	12	3290.0	2.528	3	220
mp-546810	-2.642066486	0.0	0	4	2.7065	47.68	87	0.571428571	12	3823.0	2.56	3	220
mp-554034	-2.665547656	2.4	9	9	3.7602	62.04	87	0.5	12	2750.0	2.526	4	207
mp-777595	-2.665547656	0.666666667	4	4	3.395	32.44444444	93	0.540540541	12	1811.0	3.121666667	3	132
mp-645513	-2.684031124	0.974358974	8	8	3.4478	40.04733728	87	0.251207729	12	2896.0	2.814871795	4	175
mp-696616	-2.701148452	0.333333333	5	5	1.9638	29.15555556	94	0.448979592	12	1519.0	2.508666667	4	139
mp-31040	-2.705535317	1.2	6	7	1.0799	19.84	94	0.606060606	12	2750.0	2.848	2	164
mp-762279	-2.73048869	2.37037037	8	8	2.7846	47.85185185	87	0.5	12	1941.0	2.682962963	3	203
mp-18957	-2.761955654	1.25	5	5	2.0082	43.25	87	0.4	12	1519.0	2.34	3	166
mp-662572	-2.761955654	1.5	7	7	1.3106	26.08163265	94	0.321917808	12	3290.0	2.607142857	3	170
mp-756063	-2.772115094	1.2	6	7	2.8255	60.48	87	0.5	12	2750.0	2.548	3	220
mp-753268	-2.920821287	0.0	0	1	0.4071	35.62666667	93	0.547945205	12	1357.77	2.641333333	3	132
mp-31256	-2.96657906	1.0	9	20	1.2843	40.88888889	87	0.416666667	12	1408.0	2.902222222	3	196
mp-30946	-3.081973335	0.0	0	5	1.4331	5.05785124	96	0.244186047	12	1828.05	2.463636364	3	139
mp-541709	-3.16178519	1.285714286	6	7	1.0294	16.71428571	95	0.211711712	12	2750.0	2.477142857	3	164
mp-766570	-3.226950434	2.80952381	9	22	1.9668	61.84126984	87	0.5	12	2023.0	2.700952381	3	206
mp-30945	-3.228417663	0.0	0	5	1.6181	3.074380165	95	0.244186047	12	1828.05	2.681818182	3	139
mp-582648	-3.26761187	1.071428571	5	5	0.9885	19.69387755	95	0.213675214	12	3459.0	2.58	3	220
mp-29831	-3.309810124	1.166666667	7	7	2.8237	18.88888889	94	0.462962963	12	3290.0	2.883333333	2	170
mp-23307	-3.361517732	1.0	6	7	2.2207	17.22222222	94	0.625	12	2750.0	2.9	2	164
mp-31012	-3.415676693	1.285714286	6	7	1.0977	27.36734694	95	0.264705882	12	2750.0	2.362857143	3	203
mp-19483	-3.417944595	0.363636364	4	4	0.0	34.47933884	87	0.344086022	12	1818.0	2.834545455	4	190
mp-560513	-3.754504605	1.6875	9	16	2.5738	34.21875	94	0.486238532	12	1687.0	2.74	4	196
mp-650029	-3.847733065	0.529411765	6	6	1.5404	16.56747405	88	0.469387755	12	3823.0	2.849117647	5	162
mp-581361	-4.074724016	0.666666667	9	9	3.9241	43.56104252	93	0.588235294	12	3823.0	2.858518519	5	215
mp-767402	-1.876148588	2.5	9	9	1.6976	46.92	87	0.5	13	1941.0	2.58	4	207
mp-554878	-1.928118251	0.0	0	11	1.3762	46.66666667	87	0.431818182	13	1204.0	2.823333333	3	203
mp-7462	-1.946921826	0.0	0	2	1.4363	30.36734694	89	0.217391304	13	494.0	2.901428571	3	132
mp-774524	-1.950782248	2.5	9	9	1.9105	48.66893424	87	0.5	13	2750.0	2.626666667	5	207
mp-28606	-1.958607591	0.0	0	2	0.7239	23.84083045	89	0.220338983	13	1337.33	2.244117647	3	203
mp-759943	-1.974694422	0.0	0	5	4.0646	26.4	87	0.583333333	13	933.47	2.708	2	121
mp-555481	-1.98716307	0.0	0	5	3.5263	56.13168724	87	0.351648352	13	1770.0	2.468888889	4	215
mp-7404	-2.010105747	0.0	0	3	2.1351	46.625	87	0.452380952	13	903.78	2.325	3	166
mp-555005	-2.01908838	0.0	0	3	4.8126	31.00591716	87	0.6171875	13	923.0	2.746153846	4	166
mp-695512	-2.024568513	1.85	9	9	1.7231	49.5	87	0.5	13	2750.0	2.5725	5	207
mp-545488	-2.026872469	0.0	0	4	0.4725	20.0	87	0.625	13	1687.0	2.926666667	2	111
mp-628726	-2.028260733	0.0	0	5	5.2927	17.32231405	94	0.65625	13	1050.0	2.677272727	3	195
mp-541932	-2.032452352	0.0	0	3	5.0308	21.07692308	92	0.556818182	13	388.36	2.707692308	4	105
mp-542143	-2.039054137	0.0	0	5	2.798	29.52249135	87	0.348214286	13	2348.0	2.617647059	4	220
mp-21723	-2.040481957	0.0	0	4	3.1566	30.0	87	0.32	13	1687.0	2.91	3	146
mp-23958	-2.041914486	0.409090909	9	9	5.368	28.85950413	94	0.541666667	13	1799.0	2.624545455	4	190
mp-8416	-2.046240646	0.0	0	5	5.8537	47.88	93	0.545454545	13	1115.0	3.156	4	215
mp-554736	-2.051098581	0.0	0	5	5.4565	23.0784	92	0.525	13	2348.0	2.6352	4	176
mp-693463	-2.052076723	0.225	9	9	4.2163	31.86	87	0.504504505	13	1814.0	2.7	6	176
mp-504751	-2.057992294	0.0	0	4	3.1424	30.0	92	0.308823529	13	1090.0	2.924285714	4	146
mp-559103	-2.060980574	0.45	9	9	4.8343	37.05	87	0.609375	13	1799.0	2.671	4	190
mp-774702	-2.063989556	0.0	0	3	1.3761	33.5	87	0.339285714	13	544.4	2.34	3	148
mp-781555	-2.064493087	0.0	0	5	5.5362	20.47626004	92	0.544117647	13	2348.0	2.687297297	5	176
mp-23569	-2.064997202	0.0	0	3	1.5792	31.95918367	96	0.364705882	13	1090.0	3.144285714	4	139
mp-5769	-2.068542485	0.0	0	3	3.0588	32.375	87	0.452380952	13	903.78	2.34375	3	139
mp-30023	-2.074172786	0.0	0	5	5.3911	19.96694215	94	0.65625	13	1000.0	2.671818182	3	215
mp-778364	-2.081445836	1.066666667	8	8	3.4152	49.03111111	87	0.5	13	1941.0	2.182666667	3	166
mp-9595	-2.090444345	1.0	6	7	3.0647	38.66666667	87	0.404761905	13	2750.0	2.856666667	3	164
mp-6665	-2.166216071	0.857142857	6	6	1.9823	58.3877551	82	0.25	13	3695.0	2.181428571	4	215
mp-572332	-2.171985388	0.0	0	3	3.8881	52.28444444	93	0.555555556	13	903.78	3.261333333	4	244
mp-3203	-2.176526227	1.166666667	7	10	3.95	53.11111111	87	0.326530612	13	3290.0	2.733333333	3	201
mp-12932	-2.217527878	1.166666667	7	7	4.018	51.55555556	87	0.296296296	13	3290.0	2.745	3	194
mp-5985	-2.234331966	1.166666667	7	7	4.0381	51.11111111	87	0.285714286	13	3290.0	2.748333333	3	192
mp-3941	-2.252588736	1.5	9	9	7.3177	45.33333333	93	0.625	13	1799.0	3.02	3	190
mp-777448	-2.254925755	1.0	7	7	2.6698	38.85714286	93	0.571428571	13	2183.0	2.787142857	3	153
mp-759985	-2.264401659	0.0	0	3	3.4514	37.14	93	0.313432836	13	544.4	3.284	3	148
mp-581173	-2.276544903	0.0	0	4	1.3432	74.9408284	87	0.543478261	13	1687.0	2.006153846	3	244
mp-40451	-2.286510045	1.954545455	9	16	2.0437	47.66942149	87	0.405228758	13	1941.0	2.721363636	5	196
mp-541071	-2.305395415	0.615384615	8	8	4.2159	36.59171598	92	0.59375	13	2128.0	2.788461538	5	203
mp-676300	-2.322393686	3.0	9	9	2.0596	47.43801653	87	0.5	13	2750.0	2.705454545	3	170
mp-556908	-2.334419666	0.0	0	10	3.6757	42.82291667	94	0.409836066	13	1294.0	2.715833333	4	201
mp-557592	-2.346788162	0.5	5	6	0.0	11.68	88	0.476190476	13	2180.0	2.345	4	145
mp-769383	-2.351640672	0.0	0	5	3.4048	30.34666667	90	0.489583333	13	2348.0	2.806666667	4	220
mp-754614	-2.3809074	2.5	9	9	3.2724	48.66666667	87	0.347826087	13	2750.0	2.771666667	3	187
mp-558294	-2.420217203	0.875	7	7	4.5167	36.25	87	0.347826087	13	3290.0	2.275	3	170
mp-19407	-2.468521977	1.833333333	6	6	1.5844	37.55555556	87	0.31372549	13	3695.0	2.945	3	162
mp-770715	-2.471084199	0.666666667	6	6	2.8696	30.81481481	87	0.317073171	13	3695.0	2.957777778	3	162
mp-778814	-2.472371001	0.666666667	6	6	3.6121	50.96296296	87	0.279069767	13	3695.0	2.833333333	3	190
mp-556834	-2.50584638	0.3	3	4	0.5673	20.72	94	0.623188406	13	2607.0	3.612	4	146
mp-772579	-2.518558374	2.666666667	9	9	3.4936	56.0	87	0.387096774	13	3695.0	2.8	3	207
mp-573051	-2.552843055	1.0	5	5	3.0425	27.92	93	0.369565217	13	3459.0	3.24	3	151
mp-642974	-2.701148452	0.480769231	5	6	2.5978	38.67751479	87	0.294520548	13	2896.0	2.931730769	5	195
mp-759390	-2.701148452	0.0	0	3	3.0811	28.38	87	0.425675676	13	544.4	2.7415	4	148
