Unnamed: 0,mpid,pf_n,pf_p,formula,m_n,m_p,composition
1868,mp-29594,0.721,0.355,La5B4N9,1.66,3.57,"(La, B, N)"
1869,mp-29596,1.02,0.0677,Ca3AlN3,0.357,5.62,"(Ca, Al, N)"
1870,mp-29597,0.606,0.5770000000000001,LaBN2,2.57,2.02,"(La, B, N)"
1871,mp-29598,0.8440000000000001,0.431,NaP4N7,1.27,6.54,"(Na, P, N)"
1872,mp-29602,1.37,0.633,K2ZrTe3,16.7,1.89,"(K, Zr, Te)"
1873,mp-29603,1.12,0.984,Rb2ZrTe3,9.45,6.56,"(Rb, Zr, Te)"
1874,mp-29605,0.7040000000000001,0.153,SrPr2O4,1.03,5.32,"(Sr, Pr, O)"
1875,mp-29612,0.551,0.000374,Eu2RbI5,0.7,1490.0,"(Eu, Rb, I)"
1876,mp-29628,0.994,0.218,Na4SnS4,0.349,1.68,"(Na, Sn, S)"
1877,mp-29637,0.0452,0.424,K4MnBr6,50.2,3.75,"(K, Mn, Br)"
1878,mp-2964,0.3829999999999999,0.118,NaNO2,4.84,21.2,"(Na, N, O)"
1879,mp-29644,0.945,0.614,GeBi4Te7,0.645,0.7809999999999999,"(Ge, Bi, Te)"
1880,mp-29654,0.175,0.291,B9H11,7.26,4.64,"(B, H)"
1881,mp-29655,0.238,0.257,B2H4C,13.5,12.2,"(B, H, C)"
1882,mp-29657,1.12,0.285,NaGe,0.2739999999999999,1.11,"(Na, Ge)"
1883,mp-29682,1.08,0.515,BaAg8S5,0.308,0.691,"(Ba, Ag, S)"
1884,mp-29688,0.369,0.0115,Ge3Cl8,2.24,72.1,"(Ge, Cl)"
1885,mp-29690,1.04,0.313,Tl2Te2O5,1.4,2.8,"(Tl, Te, O)"
1886,mp-29693,1.01,0.0523,Rb2AgCl3,0.441,65.7,"(Rb, Ag, Cl)"
1887,mp-29696,0.94,0.077,K4Sb2O3,0.3979999999999999,6.58,"(K, Sb, O)"
1888,mp-29698,1.04,0.145,Nb3ClO7,1.21,6.04,"(Nb, Cl, O)"
1889,mp-29699,0.416,0.442,TiNb3O6,3.46,6.9,"(Ti, Nb, O)"
1890,mp-29703,0.8119999999999999,0.23,BaSi7N10,1.14,7.77,"(Ba, Si, N)"
1891,mp-29713,0.207,0.0571,NbTeCl9,6.63,29.4,"(Nb, Te, Cl)"
1892,mp-29718,0.301,0.0742,AgW3Br7,5.64,22.2,"(Ag, W, Br)"
1893,mp-29722,0.804,2.24,Ca11InSb9,2.17,0.505,"(Ca, In, Sb)"
1894,mp-29731,0.821,0.499,HoClO,0.951,1.73,"(Ho, Cl, O)"
1895,mp-29746,0.904,0.128,Cd4P2Cl3,0.411,2.91,"(Cd, P, Cl)"
1896,mp-29754,1.1,0.166,SrLiN,0.256,2.16,"(Sr, Li, N)"
1897,mp-29761,0.133,0.298,UCO5,234000.0,8.85,"(U, C, O)"
1898,mp-29763,0.457,0.35,RbMnBr3,5.07,2.4,"(Rb, Mn, Br)"
1899,mp-29787,0.257,0.204,Ba5Pt2O9,5.25,12.1,"(Ba, Pt, O)"
1900,mp-2979,1.12,0.1369999999999999,ZnGeN2,0.181,1.86,"(Zn, Ge, N)"
1902,mp-29796,0.0232,0.0169,Ho(AlCl4)3,149.0,78.1,"(Ho, Al, Cl)"
1903,mp-29799,0.8859999999999999,0.0855,KBiO3,0.417,4.32,"(K, Bi, O)"
1904,mp-29803,3.38,2.18,SiH,2.19,103.0,"(Si, H)"
1905,mp-29808,0.969,0.0662,Ca4GeN4,0.363,5.36,"(Ca, Ge, N)"
1906,mp-29825,0.905,0.00625,K2Si2O5,0.515,76.9,"(K, Si, O)"
1907,mp-29827,1.16,0.36,Rb4Hg5Te13,0.695,13.9,"(Rb, Hg, Te)"
1908,mp-29831,0.049,0.108,TaCl5,54.3,19.0,"(Ta, Cl)"
1909,mp-29832,0.6869999999999999,0.5870000000000001,Sm10Se19,0.344,1.97,"(Sm, Se)"
1910,mp-29835,0.815,0.347,K2SnTe3,0.7290000000000001,3.32,"(K, Sn, Te)"
1911,mp-29844,0.0204,0.0151,Tb(AlCl4)3,147.0,86.5,"(Tb, Al, Cl)"
1912,mp-29848,0.633,0.363,IF3,2.09,5.03,"(I, F)"
1913,mp-29849,1.48,0.823,Ag3SnP7,0.5920000000000001,0.91,"(Ag, Sn, P)"
1914,mp-29857,1.58,0.515,Bi3Se4Br,0.77,1.55,"(Bi, Se, Br)"
1915,mp-29871,0.8490000000000001,0.0093,Na4SeO5,0.5660000000000001,106.0,"(Na, Se, O)"
1916,mp-29873,0.918,0.18,Rb2CdCl4,0.5760000000000001,5.64,"(Rb, Cd, Cl)"
1917,mp-29877,0.445,0.139,K2ReH9,4.03,66.6,"(K, Re, H)"
1918,mp-29878,0.1369999999999999,0.0375,Re2PCl13,10.5,66.9,"(Re, P, Cl)"
1919,mp-29882,0.2019999999999999,0.111,CsPdCl3,57.3,28.7,"(Cs, Pd, Cl)"
1920,mp-29890,0.152,0.889,Th2AuF11,13.6,44.2,"(Th, Au, F)"
1921,mp-29922,0.518,0.0567,Sb5PO10,10.8,28.8,"(Sb, P, O)"
1922,mp-29934,0.757,0.0108,Zr6Ag7F31,0.7659999999999999,54.1,"(Zr, Ag, F)"
1923,mp-29955,1.08,0.0707,Hg3(SeI)2,0.213,5.06,"(Hg, Se, I)"
1924,mp-29956,1.07,0.0492,Hg3(SI)2,0.238,6.42,"(Hg, S, I)"
1925,mp-29959,1.36,0.439,TlBSe3,0.484,1.72,"(Tl, B, Se)"
1926,mp-29960,0.3670000000000001,0.341,Ca(C2N3)2,5.67,6.32,"(Ca, C, N)"
1927,mp-29985,0.103,0.158,LiNb6Cl19,12.5,16.4,"(Li, Nb, Cl)"
1928,mp-29988,0.313,0.106,CsPd2Cl5,14.6,31.0,"(Cs, Pd, Cl)"
1929,mp-29990,0.7,0.247,La3B2N5,1.31,3.06,"(La, B, N)"
1930,mp-29991,0.308,0.358,Bi2Te4Cl7,53.8,38.0,"(Bi, Te, Cl)"
1931,mp-30002,0.377,0.154,Sc(IO3)3,4.29,10.3,"(Sc, I, O)"
1932,mp-30003,0.077,0.161,AuSO4,31.0,37.8,"(Au, S, O)"
1933,mp-30005,0.958,0.00714,Rb6Br4O,0.3929999999999999,103.0,"(Rb, Br, O)"
1934,mp-30010,0.134,0.0427,AsKrF7,16.1,419.0,"(As, Kr, F)"
1935,mp-30013,0.1369999999999999,0.00729,SbKr3F11,248.0,285.0,"(Sb, Kr, F)"
1936,mp-30018,0.937,0.28,Rb2ZnI4,0.4379999999999999,11.5,"(Rb, Zn, I)"
1937,mp-30023,0.843,0.1119999999999999,Ba(AlCl4)2,0.629,41.3,"(Ba, Al, Cl)"
1938,mp-30027,0.256,0.0575,RbCrCl3,8.1,41.8,"(Rb, Cr, Cl)"
1939,mp-30039,1.52,0.363,Na2Al2Sb3,0.628,1.37,"(Na, Al, Sb)"
1940,mp-30056,1.09,0.198,CsCaBr3,0.364,2.0,"(Cs, Ca, Br)"
1941,mp-30057,0.598,0.0739,LiCN,1.47,15.2,"(Li, C, N)"
1942,mp-30058,0.775,0.484,TlSbO3,0.8640000000000001,1.74,"(Tl, Sb, O)"
1943,mp-30063,0.255,0.21,C2S9N2,6.97,9.12,"(C, S, N)"
1944,mp-30077,0.773,0.208,K2GaSb2,1.32,6.4,"(K, Ga, Sb)"
1945,mp-30086,0.425,0.0182,GeCl4,2.06,48.7,"(Ge, Cl)"
1946,mp-3009,0.897,0.0174,Rb2BeF4,0.514,35.5,"(Rb, Be, F)"
1947,mp-30091,1.44,0.773,MgB9N,0.499,1.1,"(Mg, B, N)"
1948,mp-30096,0.603,0.7809999999999999,Be2Te7Cl6,8.04,3.05,"(Be, Te, Cl)"
1949,mp-30103,0.0471,0.0519,AuF5,129.0,59.9,"(Au, F)"
1950,mp-30119,0.955,0.0466,Cs3AsO4,0.431,15.7,"(Cs, As, O)"
1951,mp-30123,1.12,0.0677,Hg2SeO5,0.356,6.84,"(Hg, Se, O)"
1952,mp-30130,0.94,0.0935,Bi4I2O5,1.0,44.1,"(Bi, I, O)"
1953,mp-30137,0.35,0.0858,Gd3ReO8,8.52,13.8,"(Gd, Re, O)"
1954,mp-30139,0.969,0.108,BeBr2,0.419,67.0,"(Be, Br)"
1955,mp-30148,0.95,0.797,BC2N,0.477,0.551,"(B, C, N)"
1956,mp-30156,1.08,0.203,LiMgN,0.283,2.6,"(Li, Mg, N)"
1957,mp-30157,0.495,1.11,Dy3S2Cl5,2.74,53.0,"(Dy, S, Cl)"
1958,mp-30164,1.32,0.261,CsSn2Cl5,53.2,5.98,"(Cs, Sn, Cl)"
1959,mp-30184,0.151,0.0436,H4C7O,32.6,62.2,"(H, C, O)"
1960,mp-30192,2.41,1.58,Pr4Se3O4,1.8,5.23,"(Pr, Se, O)"
1961,mp-30198,1.01,0.0337,Ba4Ga2O7,0.39,13.9,"(Ba, Ga, O)"
1962,mp-30206,0.8370000000000001,0.0167,CsClO4,0.598,35.0,"(Cs, Cl, O)"
1963,mp-30209,0.653,0.3929999999999999,LiBH4,2.08,3.38,"(Li, B, H)"
1964,mp-30219,0.8340000000000001,0.038,KGaCl4,0.64,25.4,"(K, Ga, Cl)"
1965,mp-30224,0.708,0.0576,Si3(Cl4O)2,0.735,149.0,"(Si, Cl, O)"
1966,mp-30228,0.897,0.153,Li4HN,0.51,3.14,"(Li, H, N)"
1967,mp-30231,0.846,0.0736,RbGaCl4,0.618,11.4,"(Rb, Ga, Cl)"
1968,mp-30233,0.64,0.132,Na3As7,1.2,8.48,"(Na, As)"
1969,mp-30237,0.415,0.506,Ba(CO)4,6.24,5.4,"(Ba, C, O)"
1970,mp-30239,0.574,0.998,Sr3(BS3)2,3.29,4.38,"(Sr, B, S)"
1971,mp-30241,0.894,0.136,Mg5(HO3)2,0.499,235.0,"(Mg, H, O)"
1972,mp-30243,0.981,0.141,Mg3(HO2)2,0.4270000000000001,269.0,"(Mg, H, O)"
1973,mp-30247,0.946,0.0965,Mg(HO)2,0.4539999999999999,4.68,"(Mg, H, O)"
1974,mp-30274,0.933,0.33,AcBrO,0.5820000000000001,1.49,"(Ac, Br, O)"
1975,mp-30284,1.21,0.2739999999999999,HgAsO3,0.1989999999999999,1.53,"(Hg, As, O)"
1976,mp-30291,1.04,0.997,Tb4Se3N2,1.86,1.71,"(Tb, Se, N)"
1977,mp-30292,0.963,0.8190000000000001,Nd4Se3N2,1.52,1.19,"(Nd, Se, N)"
1978,mp-30293,0.883,0.256,Sr2GeSe4,0.518,1.87,"(Sr, Ge, Se)"
1979,mp-30299,0.541,0.213,RbAsO2,3.39,8.15,"(Rb, As, O)"
1980,mp-30301,0.6890000000000001,0.165,LiClO4,0.979,14.8,"(Li, Cl, O)"
1981,mp-30308,0.848,0.0265,TlAuF6,0.779,24.0,"(Tl, Au, F)"
1982,mp-30315,0.982,0.467,Ca3BN3,0.415,51.3,"(Ca, B, N)"
1983,mp-3032,0.863,0.00733,RbBF4,0.594,70.2,"(Rb, B, F)"
1984,mp-30325,0.315,0.0398,In2(Se2O5)3,14.3,55.1,"(In, Se, O)"
1985,mp-3033,0.2289999999999999,0.0848,RbTaO3,11.4,19.7,"(Rb, Ta, O)"
1986,mp-30373,2.02,2.3,RbAu,0.2789999999999999,0.245,"(Rb, Au)"
1987,mp-3038,1.14,0.111,Al2HgSe4,0.1939999999999999,1.89,"(Al, Hg, Se)"
1988,mp-3041,1.08,0.248,Er2CdS4,0.244,1.06,"(Er, Cd, S)"
1989,mp-30456,1.52,2.08,SrLiBi,0.693,0.52,"(Sr, Li, Bi)"
1990,mp-3051,0.976,0.138,Mg2GeO4,0.371,3.27,"(Mg, Ge, O)"
1991,mp-30520,0.759,0.276,Tl2S5,1.19,4.53,"(Tl, S)"
1992,mp-30529,0.267,0.298,B5H11,7.49,9.84,"(B, H)"
1993,mp-30537,0.868,0.0184,TbP5O14,0.5710000000000001,40.3,"(Tb, P, O)"
1994,mp-3074,0.898,0.128,KAgO,0.982,8.55,"(K, Ag, O)"
1995,mp-3075,0.994,0.409,TlGeS2,1.26,1.96,"(Tl, Ge, S)"
1996,mp-3080,0.999,0.0725,Ca5(Ga3O7)2,0.382,6.46,"(Ca, Ga, O)"
1997,mp-3081,0.958,0.214,BeAl2O4,0.423,2.98,"(Be, Al, O)"
1998,mp-3082,0.815,0.103,CaSO4,0.6459999999999999,5.27,"(Ca, S, O)"
1999,mp-30847,1.21,0.6869999999999999,TiSnPt,0.74,1.3,"(Ti, Sn, Pt)"
2000,mp-30908,0.991,0.142,Ag3PSe4,0.099,0.971,"(Ag, P, Se)"
2001,mp-30925,0.273,0.4639999999999999,La(NO2)3,5.89,6.29,"(La, N, O)"
2002,mp-30942,0.882,0.00107,Ba6Mg11F34,0.515,952.0,"(Ba, Mg, F)"
2003,mp-30943,1.52,1.13,MgPSe3,39.8,430.0,"(Mg, P, Se)"
2004,mp-30945,0.0591,0.0297,Ga2PdBr8,593.0,69.2,"(Ga, Pd, Br)"
2005,mp-30946,0.0828,0.214,Ga2PdI8,75.2,6.87,"(Ga, Pd, I)"
2006,mp-30949,1.15,0.795,Sr3SiO,0.376,0.456,"(Sr, Si, O)"
2007,mp-30957,0.8540000000000001,0.133,Pr(PO3)3,0.594,129.0,"(Pr, P, O)"
2008,mp-30962,0.914,0.00244,K4Ge9O20,0.4320000000000001,166.0,"(K, Ge, O)"
2009,mp-30975,0.935,0.043,Na3BO3,0.508,17.8,"(Na, B, O)"
2010,mp-30977,0.151,0.0994,B5H6Br,13.7,20.0,"(B, H, Br)"
2011,mp-3098,0.836,0.166,AlCuO2,0.894,3.89,"(Al, Cu, O)"
2012,mp-30981,0.8009999999999999,0.0203,Te(HO)6,0.684,27.4,"(Te, H, O)"
2013,mp-30982,0.7390000000000001,0.624,Ag2SO3,2.26,2.39,"(Ag, S, O)"
2014,mp-30983,0.841,0.00309,CaP4O11,0.6459999999999999,183.0,"(Ca, P, O)"
2015,mp-30989,0.2019999999999999,0.00789,Sn(NO3)4,8.87,199.0,"(Sn, N, O)"
2016,mp-30993,0.6940000000000001,0.8220000000000001,LaIO,15.9,1.27,"(La, I, O)"
2017,mp-30997,0.815,0.409,ZrTlF5,1.63,1.94,"(Zr, Tl, F)"
2018,mp-30998,0.0166,0.0372,Ti(NO3)4,139.0,47.6,"(Ti, N, O)"
2019,mp-31001,0.623,0.371,KSb3O5,1.89,5.83,"(K, Sb, O)"
2020,mp-31004,0.181,0.617,Sn(SO2)2,9.94,5.08,"(Sn, S, O)"
2021,mp-31005,0.979,0.0971,Zn3(PO4)2,0.4429999999999999,8.9,"(Zn, P, O)"
2022,mp-31012,0.0384,0.158,K2(NbBr3)3,68.5,12.5,"(K, Nb, Br)"
2023,mp-31016,0.629,0.0992,Ca4Nb2O9,1.75,13.1,"(Ca, Nb, O)"
2024,mp-31020,0.351,0.119,AsI5F6,3.53,10.0,"(As, I, F)"
2025,mp-31033,0.607,0.123,HfF4,1.3,9.02,"(Hf, F)"
2026,mp-31036,0.8190000000000001,0.597,CuTe2Br,1.52,2.37,"(Cu, Te, Br)"
2027,mp-31039,0.682,0.0231,Rb6Te2O9,0.899,34.5,"(Rb, Te, O)"
2028,mp-31040,0.1969999999999999,0.0065299999999999,NbCl4,7.77,486.0,"(Nb, Cl)"
2029,mp-31043,0.8690000000000001,0.0267,H5NF2,0.579,21.1,"(H, N, F)"
2030,mp-31049,0.767,0.6629999999999999,NdO2,3.69,2.45,"(Nd, O)"
2031,mp-31053,1.37,0.507,Ag2S,0.74,1.11,"(Ag, S)"
2032,mp-31060,0.456,0.128,Rb4(BS)9,2.91,29.3,"(Rb, B, S)"
2033,mp-31064,0.84,0.0438,B6H10N,0.617,11.8,"(B, H, N)"
2034,mp-31067,0.703,0.0891,Nd(ClO4)3,2.03,31.8,"(Nd, Cl, O)"
2035,mp-31069,1.0,0.0867,P2Pb8O13,0.3829999999999999,17.0,"(P, Pb, O)"
2036,mp-31073,0.831,0.0411,Na3B7O12,0.648,53.1,"(Na, B, O)"
2037,mp-31086,1.28,1.46,NaP5,0.747,0.588,"(Na, P)"
2038,mp-31097,0.805,0.258,KAlH4,0.87,2.52,"(K, Al, H)"
2039,mp-31115,0.953,0.191,Er3GaO6,0.4270000000000001,8.19,"(Er, Ga, O)"
2040,mp-31116,0.534,0.3379999999999999,LaScO3,1.65,2.68,"(La, Sc, O)"
2041,mp-31118,0.53,0.638,SmScO3,2.84,2.81,"(Sm, Sc, O)"
2043,mp-3118,0.944,0.0613,Mg3TeO6,0.44,6.77,"(Mg, Te, O)"
2044,mp-31212,0.8690000000000001,0.0507,K2MgF4,0.5660000000000001,9.96,"(K, Mg, F)"
2045,mp-31220,1.28,1.51,AlSiTe3,0.7390000000000001,3.7,"(Al, Si, Te)"
2046,mp-3123,0.846,0.426,PPdSe,1.98,3.5,"(P, Pd, Se)"
2047,mp-31232,1.03,0.196,In2PO5,1.57,3.97,"(In, P, O)"
2048,mp-31256,0.108,1.49,U(SbO3)2,115.0,1.36,"(U, Sb, O)"
2049,mp-31268,0.792,0.212,AlBiBr6,2.9,87.0,"(Al, Bi, Br)"
2050,mp-31276,1.09,1.11,Cd2PCl2,0.759,9.05,"(Cd, P, Cl)"
2051,mp-31292,0.944,0.54,Rb2PdSe16,0.934,1.58,"(Rb, Pd, Se)"
2052,mp-31302,0.139,0.0186,KCO3,11.9,149.0,"(K, C, O)"
2053,mp-31306,0.0915,0.0707,C2O3F2,45.2,4880.0,"(C, O, F)"
2054,mp-31356,0.696,0.143,Sr3MoN4,1.83,6.84,"(Sr, Mo, N)"
2055,mp-31362,0.185,0.221,Na3YCl6,10.5,10.7,"(Na, Y, Cl)"
2056,mp-31367,0.602,0.103,LiClO2,1.76,168.0,"(Li, Cl, O)"
2057,mp-31373,0.86,0.0121,H18SO12,0.5820000000000001,739.0,"(H, S, O)"
2058,mp-31408,0.853,0.0968,Al4(B2O5)3,0.594,7.59,"(Al, B, O)"
2059,mp-31419,0.8109999999999999,0.509,LaSb5O12,1.6,7.0,"(La, Sb, O)"
2060,mp-31468,1.04,0.115,LiCaN,0.298,5.02,"(Li, Ca, N)"
2061,mp-31476,0.6609999999999999,0.0447,CsHC2,1.47,21.7,"(Cs, H, C)"
2062,mp-31487,0.81,1.38,NbI5,3.11,6.18,"(Nb, I)"
2063,mp-31508,0.872,0.465,KPb2Br5,1.23,2.43,"(K, Pb, Br)"
2064,mp-31526,0.937,0.354,CoHO2,1.46,4.34,"(Co, H, O)"
2065,mp-31578,0.4270000000000001,0.0199,Rb3CoO2,2.07,110.0,"(Rb, Co, O)"
2066,mp-31580,0.0212,0.0136,Li2CoP2O7,40.4,60.3,"(Li, Co, P, O)"
2067,mp-31642,0.4639999999999999,0.1639999999999999,LiCrP2O7,62.8,30.3,"(Li, Cr, P, O)"
2068,mp-31657,0.0155,0.0172,LiCrP2O7,3.06,2.81,"(Li, Cr, P, O)"
2069,mp-31660,0.695,0.223,LiCrP2O7,76.4,34.9,"(Li, Cr, P, O)"
2070,mp-31661,0.344,0.0963,LiCr2P3O11,3.98,20.2,"(Li, Cr, P, O)"
2071,mp-31690,0.00797,0.0145,Cr(PO3)3,299.0,268.0,"(Cr, P, O)"
2072,mp-31704,0.296,0.505,Tl2Cr2O7,7.38,4.89,"(Tl, Cr, O)"
2073,mp-31709,0.00521,0.037,Li6Cr9(PO4)8,266.0,68.3,"(Li, Cr, P, O)"
2074,mp-31718,0.585,0.145,Li3Cr2(PO4)3,32.4,6.62,"(Li, Cr, P, O)"
2075,mp-31725,0.602,0.841,CrBrO,2.26,3.34,"(Cr, Br, O)"
2076,mp-31735,0.0301,0.0675,Li2CrP2O7,70.6,45.0,"(Li, Cr, P, O)"
2077,mp-31738,0.2339999999999999,0.104,Cr(PO3)3,4.89,10.9,"(Cr, P, O)"
2078,mp-31746,0.0134,0.0036,Li3Cr(PO4)2,781.0,424.0,"(Li, Cr, P, O)"
2079,mp-31776,0.0060799999999999,0.057,Li3Fe(PO4)2,473.0,23.2,"(Li, Fe, P, O)"
2080,mp-3180,0.434,0.105,Ta2Te2O9,6.33,13.3,"(Ta, Te, O)"
2081,mp-31850,0.0369,0.1159999999999999,Li3Fe3(PO4)4,103.0,40.8,"(Li, Fe, P, O)"
2082,mp-3187,0.0165,1.03,BaCeO3,159.0,2.52,"(Ba, Ce, O)"
2083,mp-31870,0.0352,0.238,LiFeP2O7,62.5,22.6,"(Li, Fe, P, O)"
2084,mp-3188,1.08,0.122,Zn(SbO3)2,0.206,1.88,"(Zn, Sb, O)"
2085,mp-31882,0.0753,0.208,Li3Fe(PO4)2,40.3,12.6,"(Li, Fe, P, O)"
2086,mp-31905,0.347,0.3329999999999999,Ta2Mn4O9,5.62,4.76,"(Ta, Mn, O)"
2087,mp-31924,0.57,0.0855,LiMnP2O7,38.8,14.0,"(Li, Mn, P, O)"
2088,mp-3193,0.934,0.0372,Na2Si2O5,0.498,19.6,"(Na, Si, O)"
2089,mp-31939,0.419,0.457,LiMnPO4,4.17,2.72,"(Li, Mn, P, O)"
2090,mp-31946,0.291,0.145,LiMnPO4,9.02,21.5,"(Li, Mn, P, O)"
2091,mp-3196,0.935,0.123,NdGaO3,0.493,3.69,"(Nd, Ga, O)"
2092,mp-31964,0.0234,0.0492,Li2Mn(PO3)4,71.9,362.0,"(Li, Mn, P, O)"
2093,mp-31970,0.17,0.175,LiMnPO4,9.01,24.0,"(Li, Mn, P, O)"
2094,mp-31979,0.0525,0.67,Li2Mn(PO3)4,46.2,664.0,"(Li, Mn, P, O)"
2095,mp-31980,0.217,0.341,LiMn(PO3)4,9.77,4.54,"(Li, Mn, P, O)"
2096,mp-31982,0.7340000000000001,0.1669999999999999,MnP2O7,1.45,4.73,"(Mn, P, O)"
2097,mp-31983,0.3939999999999999,0.286,Mn(SeO3)2,3.41,5.08,"(Mn, Se, O)"
2098,mp-31985,0.0559,0.186,Li2Mn3(P2O7)2,94.8,10.6,"(Li, Mn, P, O)"
2099,mp-31986,0.0793,0.0199,Li3Mn2P5O16,60.2,62.2,"(Li, Mn, P, O)"
2100,mp-31993,0.54,0.188,Li3Mn2(PO4)3,1.66,3.94,"(Li, Mn, P, O)"
2101,mp-31994,0.165,0.178,LiMnPO4,9.6,10.7,"(Li, Mn, P, O)"
2102,mp-32003,0.0831,0.123,Mn(PO3)4,25.1,16.7,"(Mn, P, O)"
2103,mp-32004,0.406,0.0747,LiMn2(PO4)3,12.3,22.2,"(Li, Mn, P, O)"
2104,mp-32005,0.212,0.247,LiMn2P3O10,48.9,70.7,"(Li, Mn, P, O)"
2105,mp-32012,0.634,0.187,LiMn2(PO4)3,2.14,7.12,"(Li, Mn, P, O)"
2106,mp-32015,0.301,0.179,Li3Mn2(PO4)3,10.3,11.8,"(Li, Mn, P, O)"
2107,mp-32022,0.142,0.168,LiMnP2O7,76.6,15.9,"(Li, Mn, P, O)"
2108,mp-32027,0.106,0.1989999999999999,Li2Mn3(P2O7)2,12800.0,92.6,"(Li, Mn, P, O)"
2109,mp-3203,0.6659999999999999,0.48,NdTaO4,1.72,2.84,"(Nd, Ta, O)"
2110,mp-32042,0.147,0.0914,LiMoP2O7,16.0,20.9,"(Li, Mo, P, O)"
2111,mp-32043,0.0459,0.0531,LiMo(PO3)4,36.9,47.4,"(Li, Mo, P, O)"
2112,mp-32045,0.213,0.0481,LiMoP2O7,6.6,21.1,"(Li, Mo, P, O)"
2113,mp-32119,0.503,0.0453,Mo(PO4)2,148.0,100.0,"(Mo, P, O)"
2114,mp-322,1.76,1.03,TlS,0.414,0.847,"(Tl, S)"
2115,mp-3228,1.03,0.203,HgSO4,0.391,1.91,"(Hg, S, O)"
2116,mp-323,0.125,0.297,LaF3,19.0,8.49,"(La, F)"
2117,mp-32312,0.105,0.0063,Re2Ni(H2O3)4,116.0,265.0,"(Re, Ni, H, O)"
2118,mp-32352,0.1119999999999999,0.0738,LiNi(PO3)4,277.0,26.1,"(Li, Ni, P, O)"
2119,mp-32371,0.0183,0.0674,Li3Ni(PO4)2,74.9,61.2,"(Li, Ni, P, O)"
2120,mp-32403,0.659,0.5770000000000001,Ni(HO)2,1.9,3.29,"(Ni, H, O)"
2121,mp-32407,0.797,0.228,TaVO5,0.84,8.4,"(Ta, V, O)"
2122,mp-32422,0.465,0.177,LiV(PO4)2,2.02,7.1,"(Li, V, P, O)"
2123,mp-32425,0.601,0.265,LiVPO4,1.18,48.8,"(Li, V, P, O)"
2124,mp-32430,0.292,0.121,LiVPO5,4.06,115.0,"(Li, V, P, O)"
2125,mp-32465,0.175,0.0363,LiV(PO4)2,277.0,85.2,"(Li, V, P, O)"
2126,mp-3248,0.929,0.126,TbAsO4,0.467,3.9,"(Tb, As, O)"
2127,mp-32508,0.6,0.0116,Li3V2P5O16,0.6509999999999999,35.2,"(Li, V, P, O)"
2128,mp-32515,0.63,0.00462,LiV(PO3)3,0.624,247.0,"(Li, V, P, O)"
2129,mp-32532,0.348,0.49,VRe2O9,21.0,629.0,"(V, Re, O)"
2130,mp-32538,0.226,0.303,La2W2O9,9.76,20.5,"(La, W, O)"
2131,mp-32539,1.07,0.254,W(ClO)2,498.0,5.48,"(W, Cl, O)"
2132,mp-32541,0.361,0.0271,WCl4O,5.28,43.1,"(W, Cl, O)"
2133,mp-32542,1.5,1.3,Hg2WO4,1.58,0.856,"(Hg, W, O)"
2134,mp-3257,1.33,0.547,KAuSe5,5.46,2.17,"(K, Au, Se)"
2135,mp-32581,0.99,0.605,Pr2Te3,0.482,1.01,"(Pr, Te)"
2136,mp-32594,0.917,0.565,Sm2Se3,0.594,1.01,"(Sm, Se)"
2137,mp-3261,0.142,0.273,Dy(BO2)3,127.0,20.4,"(Dy, B, O)"
2138,mp-32616,1.05,0.206,Ga2S3,0.275,4.5,"(Ga, S)"
2139,mp-32645,0.922,0.522,Sm2S3,0.659,1.17,"(Sm, S)"
2140,mp-32689,0.905,0.565,Pr2Se3,0.593,0.969,"(Pr, Se)"
2141,mp-32711,1.07,0.0555,SrBr2,0.3389999999999999,9.38,"(Sr, Br)"
2142,mp-3273,0.873,0.062,Si5P6O25,0.557,8.4,"(Si, P, O)"
2143,mp-32736,0.908,0.51,Er2Se3,0.6679999999999999,2.04,"(Er, Se)"
2144,mp-32760,1.44,0.679,LiP5,0.613,1.6,"(Li, P)"
2145,mp-32780,0.701,0.992,AuCl,1.86,1.48,"(Au, Cl)"
2146,mp-32833,0.973,0.411,Ho6Se11,0.5329999999999999,5.24,"(Ho, Se)"
2147,mp-32850,0.8809999999999999,0.501,Tm2Se3,0.6940000000000001,3.29,"(Tm, Se)"
2148,mp-3288,0.188,0.24,CsNO2,8.97,6.72,"(Cs, N, O)"
2149,mp-32880,1.09,0.125,CuBr,0.165,1.44,"(Cu, Br)"
2150,mp-32884,1.41,0.612,Ag2S,0.381,1.4,"(Ag, S)"
2151,mp-32891,0.86,0.45,Y2S3,0.747,1.61,"(Y, S)"
2152,mp-32959,0.932,0.151,H2O,0.474,2.96,"(H, O)"
2153,mp-3297,0.861,0.142,Li10Zn4O9,0.511,3.11,"(Li, Zn, O)"
2154,mp-33018,1.05,0.0737,Rb3Sb,0.12,1.71,"(Rb, Sb)"
2155,mp-3307,0.866,0.1889999999999999,BaSO4,0.5660000000000001,2.59,"(Ba, S, O)"
2156,mp-3312,1.0,0.64,Cs(SbSe2)2,1.66,1.59,"(Cs, Sb, Se)"
2157,mp-33297,0.615,0.249,Mg2TiO4,5.8,4.4,"(Mg, Ti, O)"
2158,mp-33302,0.911,0.0603,MgAl2O4,0.493,27200.0,"(Mg, Al, O)"
2159,mp-33319,0.465,0.422,Pr3NF6,2.92,17.7,"(Pr, N, F)"
